test_id,timestamp,num_clusters,num_nodes,num_pods,elapsed,total_queries,throughput,query_name,desc,num_hops,db_name
JiX2p,2025-04-15T21:01:01Z,1,9,461,60.001466875000915,2346,39.09904410982726,get_pod_replicaset_annotation_for_specific_node,10-nodes-with-50-pods,3,memgraph
JiX2p,2025-04-15T21:02:16Z,1,9,461,60.00062283300031,6799,113.31549038955232,get_pod_deployment_label_for_specific_node,10-nodes-with-50-pods,4,memgraph
JiX2p,2025-04-15T21:03:33Z,1,9,461,60.00091883299865,2556,42.59934763856115,get_pod_deployment_annotation_for_specific_node,10-nodes-with-50-pods,4,memgraph
JiX2p,2025-04-15T21:04:48Z,1,9,461,60.000364292000086,55197,919.9444145268211,get_pod_labels_for_specific_pod,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T21:06:03Z,1,9,461,60.000275874999716,42503,708.3800762607777,get_pod_annotations_for_specific_pod,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T21:07:18Z,1,9,461,60.00008600000001,57636,960.5986231419733,get_pod_container_for_specific_pod,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T21:08:32Z,1,9,461,60.000488500001666,57625,960.4088473379412,get_pod_replicaset_for_specific_pod,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T21:09:47Z,1,9,461,60.00097724999978,55182,919.6850206302299,get_pod_deployment_for_specific_pod,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T21:11:01Z,1,9,461,60.00118399999883,52523,875.3660594431108,get_pod_replicaset_label_for_specific_pod,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T21:12:16Z,1,9,461,60.000149790999785,41153,685.8816210184375,get_pod_replicaset_annotation_for_specific_pod,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T21:13:31Z,1,9,461,60.000798957998995,54875,914.5711549343353,get_pod_deployment_label_for_specific_pod,10-nodes-with-50-pods,3,memgraph
JiX2p,2025-04-15T21:14:46Z,1,9,461,60.000303832999634,40772,679.5298922732414,get_pod_deployment_annotation_for_specific_pod,10-nodes-with-50-pods,3,memgraph
JiX2p,2025-04-15T21:16:01Z,1,9,461,60.00380050000058,12777,212.93651224641806,get_pods_for_replicaset,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T21:17:16Z,1,9,461,60.00077716599844,60485,1008.0702760342904,get_deployment_for_replicaset,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T21:18:31Z,1,9,461,60.00710991699998,6192,103.1877723917147,get_pod_labels_for_replicaset,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T21:19:48Z,1,9,461,60.02053462499862,2724,45.384467449669316,get_pod_annotations_for_replicaset,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T21:21:03Z,1,9,461,60.00123275000078,10005,166.74657405267843,get_pod_container_for_replicaset,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T21:22:18Z,1,9,461,60.000796624999566,59715,995.236786158261,get_deployment_label_for_replicaset,10-nodes-with-50-pods,3,memgraph
